ISIN,Ticker,Unternehmensname,Sektor,Earnings Growth 0-100,Sales Growth 0-100,EPS Growth 0-100,Final Growth 0-100,Final Growth 0-100_Var2,Momentum12M 0-100,Momentum6M 0-100,Final Momentum 0-100,Final Momentum 0-100_Var2,Variability 0-100,Profitability 0-100,Leverage 0-100,Final Quality 0-100,Final Quality 0-100_Var2,EarningsYield 0-100,Valuation 0-100,Final Value 0-100,Final Value 0-100_Var2,Final Min_Vol 0-100
US0378331005,AAPL,Apple Inc.,Technology,38.37730561413812,18.750192830431757,7.74900855439397,29.632991799270386,24.400801088706743,48.91921294396228,36.071758238588345,42.424172150884175,42.49548559127531,94.3619383362412,88.02816166231754,79.88811235464546,100.0,87.57659350388043,22.6946310745295,9.051056189416324,13.684980816859138,15.872843631972913,79.9935756397225
US5949181045,MSFT,Microsoft Corporation,Technology,56.83069455650712,31.287199736250464,8.577994951492695,44.54299399623352,36.96275670740157,26.69389666105042,32.21479525874334,29.48499127308,29.45434595989688,85.38804665852766,73.56479991966232,89.40016815958873,88.82933427250083,80.47945366436025,23.71546628874101,10.1340900779738,14.7647005944626,16.924778183357404,85.44464374042181
US67066G1040,NVDA,NVIDIA Corporation,Technology,100.0,100.0,11.624418972997626,97.05311953628797,82.32488379459951,64.12953853196831,33.03126569881034,48.40778233374283,48.58040211538932,14.75100405231996,76.52456715670269,86.86226203712799,63.59694925465204,63.66560010071333,19.37052735174284,6.9440278570383,10.892248441234518,13.157277604390568,5.435107982654603
US0231351067,AMZN,"Amazon.com, Inc.",Consumer Cyclical,37.99228255262648,55.26384745921066,11.925837540248994,46.74932818257675,39.68761951278466,51.32387727000158,69.85729413114662,60.693460686233216,60.590585700574096,76.32433152910419,43.05953619269647,84.7132315078784,60.18398958595469,61.78915885559388,19.15167374307384,11.88683407057471,13.296786060150328,15.519253906824275,71.5821901399665
US30303M1027,META,"Meta Platforms, Inc.",Communication Services,73.953541882582,35.26960873611704,8.368823919686895,54.72005079921853,45.363025031417,56.257074564551104,69.04316527617229,62.72109274250502,62.650119920361696,70.14337205867474,70.05304913148363,90.34125807510152,80.70720641258947,75.14768209918589,24.88073841334834,10.878373658129965,15.74658235105463,17.879556035739153,64.781851824173
US88160R1014,TSLA,"Tesla, Inc.",Consumer Cyclical,46.4475634866517,60.18696231850255,14.727778067276589,53.96014573030568,45.59936593551702,100.0,100.0,100.0,100.0,74.42103329385243,53.60684487680994,91.57204098849483,70.05309672130404,68.3016910089918,9.209222244123795,7.841917221555017,6.093458749586118,8.525569732839406,0.0
US02079K1079,GOOG,Alphabet Inc.,Communication Services,58.608270443404805,36.1026398323198,8.712439197050427,47.57994662036285,39.62685194969993,61.03086139322357,60.43854741589044,60.731416597868126,60.73470440455701,81.33747726713398,69.40728335952096,92.69214335127776,85.2623695612191,78.21104683436342,30.08067687238119,12.259882279475478,19.14006843060701,21.170279575928333,69.16879422545122
US11135F1012,AVGO,Broadcom Inc.,Technology,39.80563941057634,36.37791199528132,10.72133318807859,38.98877845125332,32.61768719995879,79.34844115741274,73.88104594835366,76.58439522543021,76.6147435528832,82.630835952443,63.03992399374625,76.60872311718978,75.11168610340717,71.32985176428133,13.374299051553642,7.686821060523,8.168931680823508,10.530560056038322,5.399927866181978
US46625H1005,JPM,JPMorgan Chase & Co.,Financial Services,40.94061613452507,14.250948864811075,6.063428371334352,28.41410428211026,23.289311674001333,59.97959904007784,54.56251470552596,57.240987810124125,57.2710568728019,97.50309832502306,47.42033207329271,85.09136485808867,71.66706619326165,69.35878183242428,43.407740932241786,6.089946975342198,22.89096371162004,24.748843953791997,79.90327064913279
US5324571083,LLY,Eli Lilly and Company,Healthcare,36.11522180970501,29.842922360438667,14.69466065855996,35.502632266127804,29.32218979976947,32.02616714143417,15.09115914979889,23.46466058163552,23.55866314561653,90.6548875477876,67.51882628846595,79.46052345200435,82.60898380357267,76.28826589418095,15.914261068234543,6.581157131467877,8.919583286415008,11.24770909985121,63.34044297262479
US0846707026,BRK-B,Berkshire Hathaway Inc.,Financial Services,44.09255310758042,23.79811668119117,5.230727190407917,33.914849120048295,28.20241335359022,36.57184898922278,30.626915014015616,33.56638295983289,33.5993820016192,82.41323719123558,45.07907507435374,89.88175064061078,65.87630439800397,65.61328449513846,50.23845238020229,20.767763229345157,33.90081522043664,35.50310780477372,99.84552412637493
US92826C8394,V,Visa Inc.,Financial Services,63.814119963896566,26.406741439920893,8.13915061736753,45.72972529022263,37.716174685000496,42.01747326096245,59.68053961834693,50.94705029804442,50.84900643965469,86.78161208156712,79.88453910091647,86.47062000158131,93.1942035191072,83.25532757124535,23.37995886740401,8.981363878404165,14.003981729204536,16.180661372904087,95.0424837066363
US91324P1021,UNH,UnitedHealth Group Incorporated,Healthcare,48.59067580523161,61.06119633543868,8.00471197542477,53.35369664530438,45.46169125135307,34.467079351007776,23.97420945709481,29.16240075432676,29.22064440405129,82.36586479777914,49.30690851021707,86.03703536682076,67.75691021892321,66.75417929625851,28.19066395399799,17.33947368816498,20.74983815829558,22.765068821081485,70.81358218017813
US30231G1022,XOM,Exxon Mobil Corporation,Energy,90.48322523616754,62.91227895593117,10.031818511411286,75.5629563448914,63.36456537912174,30.091190478415257,23.36724471309036,26.691894428127384,26.729217595752807,56.693145824228566,43.9401846800357,89.44517566750056,55.14998497931914,58.50467271295013,46.5065022250221,27.04337249672178,35.167025675210354,36.774937360871945,89.88107384938485
US57636Q1040,MA,Mastercard Incorporated,Financial Services,75.10377649772498,38.90231849598652,9.85239624568969,57.338591683176496,47.57291724662254,38.79047426568085,49.396354321450914,44.15228523823918,44.093414293565885,76.83402509481863,94.203148899477,79.22225882245606,97.9284586127672,86.11564542905717,20.30897093097584,7.9913224281409585,11.911144650106968,14.150146679558397,95.72822859068248
US9311421039,WMT,Walmart Inc.,Consumer Defensive,41.14407518686724,49.9450153877764,7.679974111935878,44.680556365923856,37.97163105224463,77.1727116461582,63.73868806107708,70.38113049633108,70.45569985361765,86.00677183411992,43.36367521637183,85.68632137731606,64.41331980178002,64.6051109110449,19.423021712846086,16.76532578205512,15.922130705229865,18.094173747450604,92.78317340008346
US22160K1051,COST,Costco Wholesale Corporation,Consumer Defensive,49.66767478000271,99.95728072486872,6.911245126688318,70.63164564921603,61.23223122728624,49.86861303212961,43.60795954942658,46.703534758339416,46.73828629077809,68.49316408097772,50.38090908320637,89.86118325627207,64.71922371235564,64.77904137591563,15.186307441553469,12.385536869749211,11.49964246133095,13.78592215565134,89.84531471864953
US64110L1061,NFLX,"Netflix, Inc.",Communication Services,60.42876558941623,31.60677608748137,11.657812138556237,47.408412326644886,39.14577909847029,71.6501786599534,76.77459712812387,74.24083243183617,74.21238789403864,79.92918712553112,58.36744795041169,84.1113667655191,73.15263656197217,70.1938624479684,17.363633256344915,8.2398856087588,10.514217697347206,12.801759432551858,67.33729080890285
US4370761029,HD,"The Home Depot, Inc.",Consumer Cyclical,48.52464873364756,40.69789916476133,6.641831606342801,43.9640100578303,37.01738548063212,33.92662936892801,47.13693222321974,40.60510832800551,40.53178079607388,81.44500151482626,81.75172328443496,44.70730087396328,77.7736125963926,72.41393723941486,26.077395554534576,11.881540728403015,16.87656758348197,18.9794681414688,87.06211354928548
US7427181091,PG,The Procter & Gamble Company,Consumer Defensive,40.92270709815612,19.68653247048476,5.6030863139887686,30.65118421619872,25.364313090254104,30.58364030168103,29.33373096312703,29.95174765619369,29.95868563240403,97.04960570417212,59.386367876736166,84.58395835549767,80.55873377284459,75.10157495328552,28.04433003967732,12.848921946460298,18.38676682055613,20.446625993068807,98.96116582686687
US4781601046,JNJ,Johnson & Johnson,Healthcare,68.0886410077705,14.84137072454785,4.850030315394783,41.76737236932148,34.1420107560063,23.868406040008367,24.62570321857252,24.25125822202071,24.24705462929045,88.83346772324504,62.69770621050563,87.54249818233642,81.07281104088467,75.44284458164817,33.92678980845788,15.850634076750714,22.9585936084959,24.888711942604296,96.94572411634287
US79466L3024,CRM,"Salesforce, Inc.",Technology,38.74692018030483,28.430198231908616,8.45095409880993,34.28078972875542,28.56103818464737,34.200971758513525,72.48775007853851,53.55688253826383,53.34436091852602,89.19641999493712,40.2370754607576,90.57685419667392,64.93927465671018,65.06185627828157,19.27249525993017,12.509279255428684,13.67634189576163,15.890887257679427,51.17481574014416
US0605051046,BAC,Bank of America Corporation,Financial Services,40.35403156396004,13.77927176877872,9.982535646763282,29.112968206089256,23.649828462448163,53.59227016736414,49.31579080076232,51.43029267269221,51.454030484063225,99.166376146621,45.04206522970249,82.23430313329732,69.4406933259753,67.87120243483082,45.708657317634135,21.00261996406661,31.677312047731636,33.35563864085037,82.63598632909572
US00287Y1091,ABBV,AbbVie Inc.,Healthcare,40.375335359172674,19.05463530133953,8.27232095479342,30.91744180081252,25.42645245516357,31.239684554511847,26.0449494662742,28.613482160256687,28.642317010393025,90.21346234304,56.411788848377576,66.58475635240119,69.28425570624552,67.40544909804909,23.894736116506145,10.941000012163329,15.268451891604403,17.417868064334737,77.71576067140332
DE0007164600,SAP.DE,SAP SE,Technology,39.7613326428502,19.58412314979939,10.31480667105278,31.46916282253511,25.801143651270397,68.15910363952923,72.84848211011409,70.52982259975182,70.50379287482167,92.71576389934492,48.89547330028769,88.18188649922195,72.10171063734633,69.67214924978556,13.798028573591091,10.344813870917676,9.742031231512264,12.071421222254385,83.01084832244314
NL0010273215,ASML.AS,ASML Holding N.V.,Technology,72.29277045615639,51.86261871578471,11.14874541034552,62.03067447436544,51.89190475084555,13.850573477730174,20.142864525995783,17.031646147580528,16.996719001862978,70.03599768303121,72.25520580078843,89.96635639348361,82.23444748624608,76.12819141952292,22.24045494959243,8.208725390892626,13.0209858342374,15.224590170242529,39.25800455426685
DK0062498333,NOVO-B.CO,Novo Nordisk A/S,Healthcare,93.12970867393337,62.66824836672069,11.67814364627674,77.27117279975808,64.65481154551696,7.369086018523947,0.0,3.643638807723956,3.6845430092619735,59.91306753902709,84.37010654089822,89.9892148209466,87.78622942837892,79.66062386044253,27.6994983462952,9.833862938445206,16.672598091219363,18.7666806423702,44.82774565850763
US1667641005,CVX,Chevron Corporation,Energy,74.5500963462223,59.5032891866941,8.99255100638104,65.84645945556584,55.41986441444277,27.638177547689157,35.75191722870447,31.740085001043923,31.69504738819681,64.03476282857932,44.95377477833977,90.1356996720953,58.94480973402392,61.01950301433854,43.69711557750639,31.20465879298286,35.83346755067519,37.45088718524463,89.72539980668725
US68389X1054,ORCL,Oracle Corporation,Technology,34.35438601091033,23.71358465717889,8.57419854658903,30.06898459468108,24.942027976553497,65.40368490327727,55.69231396374601,60.49409371533675,60.547999433511634,89.68124972541973,70.26859358633735,44.06674487582643,71.77926225847618,68.57129544348021,22.8992329473262,9.087258436305682,13.809256051390037,15.99324569181594,49.68620297696982
US9497461015,WFC,Wells Fargo & Company,Financial Services,41.489364740129815,13.65274195703555,9.548665833350332,29.488002270717946,23.96657584553621,59.46762279985052,73.73532342660754,66.68067003133447,66.60147311322902,98.38296728747484,41.48845291991981,82.70610899194642,66.56835392483377,66.01649552981522,43.36051862836037,23.36172267921247,31.664356157875336,33.361120653786415,68.01638620594406
