ISIN,Ticker,Unternehmensname,Sektor,Final Growth Score,Composite Momentum Score,Quality Score,Value Score,Min Volatility Score
US0378331005,AAPL,Apple Inc.,Technology,-0.4632330642270875,0.2255069161167403,1.415776106796391,-0.7071797859685403,0.4225496556851314
US5949181045,MSFT,Microsoft Corporation,Technology,0.1989178754541863,-0.408640050337096,0.9774613516050024,-0.655962426591833,0.6659099115477674
US67066G1040,NVDA,NVIDIA Corporation,Technology,2.530884595848177,0.5187625929433277,-0.0126073633478769,-0.8396552492251399,-2.9060764833686656
US0231351067,AMZN,"Amazon.com, Inc.",Consumer Cyclical,0.296900841770612,1.1208815162071546,-0.1465251277995095,-0.7255941104765521,0.0470274846967943
US30303M1027,META,"Meta Platforms, Inc.",Communication Services,0.6508794258195952,1.220255404686835,0.6587651725772535,-0.6093860909203419,-0.2565702766798578
US88160R1014,TSLA,"Tesla, Inc.",Consumer Cyclical,0.6171321567839703,3.0472880563909968,0.2407190511520948,-1.0672896237254648,-3.148724207606451
US02079K1079,GOOG,Alphabet Inc.,Communication Services,0.333788481236813,1.122741728723664,0.8375007349021873,-0.4484134018194119,-0.0607173895928755
US11135F1012,AVGO,Broadcom Inc.,Technology,-0.0477439961990382,1.899693407571518,0.4392080598395539,-0.968837928016272,-2.907647082375667
US46625H1005,JPM,JPMorgan Chase & Co.,Financial Services,-0.517363674178915,0.9516764311384096,0.3040480103425909,-0.2704867253085421,0.4185180337700138
US5324571083,LLY,Eli Lilly and Company,Healthcare,-0.2025632203321354,-0.7036953927952452,0.7333871433614367,-0.93323017696107,-0.3209212663272699
US0846707026,BRK-B,Berkshire Hathaway Inc.,Financial Services,-0.2730764285701936,-0.2086117655865482,0.0768300091439954,0.2517742660228015,1.308830137571573
US92826C8394,V,Visa Inc.,Financial Services,0.2516204320131027,0.6432116667898425,1.1487301588488654,-0.6920477260507751,1.0944007589849771
US91324P1021,UNH,UnitedHealth Group Incorporated,Healthcare,0.5901998451132421,-0.4244501546092338,0.1506212495334129,-0.3720527049358456,0.0127133601441843
US30231G1022,XOM,Exxon Mobil Corporation,Energy,1.5765097039082718,-0.545529232733244,-0.3440494786856015,0.3118379577823743,0.8639721530184692
US57636Q1040,MA,Mastercard Incorporated,Financial Services,0.7671684300913748,0.3102014329014322,1.3344929336925213,-0.7913231038112487,1.125015502252734
US9311421039,WMT,Walmart Inc.,Consumer Defensive,0.2050269989121443,1.5956725002808336,0.0194253968509171,-0.6010588162604862,0.9935349609214272
US22160K1051,COST,Costco Wholesale Corporation,Consumer Defensive,1.3575109428699406,0.4352377206786325,0.0314284592419047,-0.8108430347452019,0.862375704204327
US64110L1061,NFLX,"Netflix, Inc.",Communication Services,0.3261706688390704,1.7848358095298131,0.362338843527044,-0.8575874357671847,-0.1424839593422651
US4370761029,HD,"The Home Depot, Inc.",Consumer Cyclical,0.1732052858037095,0.1363549198691861,0.5436567728860948,-0.5557843500426656,0.7381210560911011
US7427181091,PG,The Procter & Gamble Company,Consumer Defensive,-0.4180152928773677,-0.3857644025492013,0.6529394008345553,-0.4841468579265742,1.269348395999695
US4781601046,JNJ,Johnson & Johnson,Healthcare,0.0756529385825884,-0.6651443815542101,0.6731107726567149,-0.2672786478010718,1.1793699915313245
US79466L3024,CRM,"Salesforce, Inc.",Technology,-0.2568250619447911,0.7711190833193979,0.0400628216118174,-0.7075895800055266,-0.864049714061415
US0605051046,BAC,Bank of America Corporation,Financial Services,-0.4863272330078548,0.666895290107182,0.2166895572212986,0.146300639037425,0.5405187820252579
US00287Y1091,ABBV,AbbVie Inc.,Healthcare,-0.4061908343891198,-0.4513525578252492,0.2105512554703315,-0.6320665864327675,0.3208577260930608
DE0007164600,SAP.DE,SAP SE,Technology,-0.3816889868871362,1.6029598739724444,0.3211025957855421,-0.8942167099055923,0.5572543114534275
NL0010273215,ASML.AS,ASML Holding N.V.,Technology,0.9755431162936028,-1.0189762924932806,0.7186910815291363,-0.7386769117549661,-1.3960698917014207
DK0062498333,NOVO-B.CO,Novo Nordisk A/S,Healthcare,1.6523713383282677,-1.675120164474806,0.9365319875417012,-0.5654598038074248,-1.147411537929839
US1667641005,CVX,Chevron Corporation,Energy,1.1450015488585326,-0.2981183055556691,-0.195148086062422,0.3434511538610192,0.8570221619043972
US68389X1054,ORCL,Oracle Corporation,Technology,-0.4438706899442275,1.1111105762226958,0.3084503612908327,-0.7012846921852982,-0.930508099140115
US9497461015,WFC,Wells Fargo & Company,Financial Services,-0.4696720272859486,1.41431358733872,0.1039846592187885,0.1456860661819681,-0.112166079153264
US1912161007,KO,The Coca-Cola Company,Consumer Defensive,-0.1213918311579361,-0.5760984041770727,0.5169388523541851,-0.5339281044515918,1.3157266370163656
US58933Y1055,MRK,"Merck & Co., Inc.",Healthcare,-0.5261507613010846,-1.215437222533876,0.1601774229526585,0.2884378424058061,0.517455240476423
US17275R1023,CSCO,"Cisco Systems, Inc.",Technology,-0.4658963749582129,0.6660718451280868,0.6216757795462987,-0.3516291813694764,0.9624850059564468
US81762P1021,NOW,"ServiceNow, Inc.",Technology,0.7589966877422331,0.6835973293889006,-0.0379962752130834,-1.0136208282909958,-0.8187698064799239
IE00B4BNMY34,ACN,Accenture plc,Technology,0.1392465968703125,0.0117506500161446,0.6002742693515207,-0.5971246814848383,0.2902996152920826
CH0038863350,NESN.SW,Nestlé S.A.,Consumer Defensive,-0.5721321965413679,-1.0710341693590308,0.3452798966566327,-0.0867540906453255,1.14117289475542
US0028241000,ABT,Abbott Laboratories,Healthcare,-0.3203488268344187,0.121936070215464,0.3247793767082648,-0.3191766762976329,0.8776169601869224
CH0012032048,ROG.SW,Roche Holding AG,Healthcare,-0.712088440150087,0.071708053111116,0.7775444413582122,-0.2110693381964913,0.9333018353445238
US8835561023,TMO,Thermo Fisher Scientific Inc.,Healthcare,-0.3440838702052542,-0.4084336710867405,0.3085833961117091,-0.550898500593136,0.7439052812647728
GB0009895292,AZN.L,AstraZeneca PLC,Healthcare,0.0971626528406665,-0.5292409455699726,-0.0205535766015094,-0.948626698103414,0.5150471645571618
US3696043013,GE,GE Aerospace,Industrials,-0.1298221879909737,1.1885020164309368,-0.0191511196037059,-0.6537186621719018,-0.366648080839984
US4592001014,IBM,International Business Machines Corporation,Technology,-0.4465672295211356,1.1496920706228186,0.0159896171230785,-0.582749023653341,0.2863702689573829
IE000S9YS762,LIN,Linde plc,Basic Materials,-0.1492529494890945,-0.5865894124405202,0.1984153814104515,-0.5786107335084172,1.3157266370163656
US5801351017,MCD,McDonald's Corporation,Consumer Cyclical,-0.0022734797539212,-0.3702751295104525,-0.0943293403950345,-0.5649664310587887,1.0556414717371805
US2546871060,DIS,The Walt Disney Company,Communication Services,-0.2359689148621057,0.3342319151369952,-0.0980378102284771,-0.3060468033087712,0.5315275104178867
FR0000121014,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,0.5846672293565103,-0.5433673171175837,0.1993339090887828,-0.4401716093445931,-0.0315326581159889
US7134481081,PEP,"PepsiCo, Inc.",Consumer Defensive,-0.1937514883708859,-0.8513302121038896,0.4035941784875569,-0.2565523725310636,1.0264498742966632
US46120E6023,ISRG,"Intuitive Surgical, Inc.",Healthcare,0.1182842401298699,0.8901053381927508,0.5934696599654703,-1.0013103766464408,0.1760374868954633
CH0012005267,NOVN.SW,Novartis AG,Healthcare,-0.9222735209024576,-0.4108097729806723,0.582336261492028,-0.0849426414961618,1.1397340893089412
US38141G1040,GS,"The Goldman Sachs Group, Inc.",Financial Services,-0.5617328088771737,1.5552847944533228,-0.006486777636524,-0.2633358925762811,0.1218911202887481
US7181721090,PM,Philip Morris International Inc.,Consumer Defensive,-0.3605809046161949,0.7284913494435563,0.0511642481868093,-0.4846329458308436,0.5000667404946625
GB00BP6MXD84,SHEL.L,Shell plc,Energy,0.8555019415838061,-0.1812630573230757,-0.3854554428234997,0.2478254300509051,1.0091179823408605
JP3633400001,7203.T,Toyota Motor Corporation,Consumer Cyclical,0.023796786064058,-0.4428381024655565,-0.1119720029966317,1.2277122158420353,-0.969293860175572
US00724F1012,ADBE,Adobe Inc.,Technology,0.0425322347488457,-1.4852800135169837,0.9348140205136212,-0.5998959976595133,-0.8376669033311713
US7475251036,QCOM,QUALCOMM Incorporated,Technology,-0.5743414824568556,-0.2236453659465656,0.9360036015696224,-0.1607736789280084,-1.0040761287717377
