ISIN,Ticker,Unternehmensname,Sektor,Final Growth Score,Composite Momentum Score,Quality Score,Value Score,Min Volatility Score
US0378331005,AAPL,Apple Inc.,Technology,-0.5206263465781287,0.3061806853489269,1.1665486066414017,-0.7719113967274008,0.4310186817043076
US5949181045,MSFT,Microsoft Corporation,Technology,0.284074167502225,-0.4256632090543325,1.2244379154609026,-0.7031774427448736,0.680937621709242
US67066G1040,NVDA,NVIDIA Corporation,Technology,2.1002225176117437,0.6443254849329136,0.4171820515553847,-0.8828008392482496,-2.310376344517428
US0231351067,AMZN,"Amazon.com, Inc.",Consumer Cyclical,0.5162537827058127,1.3412023360813774,-0.1615373236431251,-0.8286570978760643,0.0352887745938385
US30303M1027,META,"Meta Platforms, Inc.",Communication Services,0.7947572620577361,1.455800475257761,0.8071938811223232,-0.624834229486035,-0.3900417945999158
US88160R1014,TSLA,"Tesla, Inc.",Consumer Cyclical,0.9797964839233866,2.1413231128107637,0.312284017393806,-1.2111437148919555,-2.310376344517428
US02079K1079,GOOG,Alphabet Inc.,Communication Services,0.6988465910568906,1.3427814752713365,0.832262050676455,-0.5444229972031112,-0.0044041114837349
US11135F1012,AVGO,Broadcom Inc.,Technology,0.0825463385372042,2.0892790593897184,0.5851588771195086,-1.0645271581358795,-2.310376344517428
US46625H1005,JPM,JPMorgan Chase & Co.,Financial Services,-0.6492480769467701,1.145071189489808,0.3484828820985527,0.0564308249199239,0.4145140352056605
US5324571083,LLY,Eli Lilly and Company,Healthcare,0.0013602721071143,-0.7670971712193699,0.804898653484685,-1.0407626259461005,-0.4259063061586098
US0846707026,BRK-B,Berkshire Hathaway Inc.,Financial Services,-0.39623068448601,-0.1949870315682646,0.0803454153235021,0.4255327808535978,1.2912193133871406
US92826C8394,V,Visa Inc.,Financial Services,0.3252178616471282,0.789504964566343,1.2995797465814125,-0.7346031851408065,1.1706233720622732
US91324P1021,UNH,UnitedHealth Group Incorporated,Healthcare,0.706740848969379,-0.4443987057712056,0.2003347245189984,-0.3924362937642925,-0.0638395604200018
US30231G1022,XOM,Exxon Mobil Corporation,Energy,1.706859163044754,-0.5841238091038882,-0.3813084959594993,0.4986863148438888,0.9258342148913348
US57636Q1040,MA,Mastercard Incorporated,Financial Services,0.9838996607214804,0.4046941467444716,1.0630487089213096,-0.8544229863527254,1.2129362763145186
US9311421039,WMT,Walmart Inc.,Consumer Defensive,0.2478528865022393,1.798749190714637,0.0263620706268871,-0.6123095321642209,1.0761417227174153
US22160K1051,COST,Costco Wholesale Corporation,Consumer Defensive,0.9774645870420756,0.5485995989361235,0.1660018917264037,-0.8625415045110523,0.9176112471804208
US64110L1061,NFLX,"Netflix, Inc.",Communication Services,0.5406787203189136,2.0767766727560035,0.5058841669226088,-0.9300786059335436,-0.235060407327182
US4370761029,HD,"The Home Depot, Inc.",Consumer Cyclical,0.1745860270608373,0.203992434097485,0.4559656625070707,-0.5744061478147195,0.7678699813924447
US7427181091,PG,The Procter & Gamble Company,Consumer Defensive,-0.5506622644856527,-0.3994446554734987,0.8190824944524613,-0.4849299097537611,1.2912193133871406
US4781601046,JNJ,Johnson & Johnson,Healthcare,0.0007333889505095,-0.7220470891156054,0.8485152015797454,-0.2221986739883533,1.265507061206746
US79466L3024,CRM,"Salesforce, Inc.",Technology,-0.2585508295840772,0.9378415586529576,0.0410231209607489,-0.7837458261790446,-1.0156490532471554
US0605051046,BAC,Bank of America Corporation,Financial Services,-0.4666868318280919,0.8162050758549817,0.2013995434075857,0.3440662007219158,0.5486794779177976
US00287Y1091,ABBV,AbbVie Inc.,Healthcare,-0.4518666717804827,-0.4753114291955471,0.229147766064248,-0.6469350579683569,0.2806622986524076
DE0007164600,SAP.DE,SAP SE,Technology,-0.3266935279940597,1.8975534866883492,0.3850219769016231,-0.9799351761243608,0.5635853283083004
NL0010273215,ASML.AS,ASML Holding N.V.,Technology,1.2704589346815682,-1.1305309423568972,1.008431765495921,-0.8105136359946886,-1.6748051881934365
DK0062498333,NOVO-B.CO,Novo Nordisk A/S,Healthcare,1.7665189571967312,-1.6301860664804018,0.9297975706143792,-0.5866603149897732,-1.350597393277715
US1667641005,CVX,Chevron Corporation,Energy,1.3750564864103512,-0.2979415645716494,-0.2073215289293112,0.547221777069648,0.9169642948033434
US68389X1054,ORCL,Oracle Corporation,Technology,-0.4713375854510415,1.3290776902737984,0.3372075582148073,-0.7404022493298633,-1.1324896796002852
US9497461015,WFC,Wells Fargo & Company,Financial Services,-0.4691478317952854,1.6799666385588563,0.0589173300634006,0.3194544820241676,-0.1957707422393151
US1912161007,KO,The Coca-Cola Company,Consumer Defensive,-0.1997528628808149,-0.6196087443251637,0.6629851552296493,-0.5584762074148311,1.2912193133871406
US58933Y1055,MRK,"Merck & Co., Inc.",Healthcare,-0.6317121703007419,-1.3574966158204356,0.2246464293859027,0.0333489590391831,0.737775675638579
US17275R1023,CSCO,"Cisco Systems, Inc.",Technology,-0.5917607614412348,0.8156512960666611,0.7952318461820899,-0.3085378360009607,1.0302946469030894
US81762P1021,NOW,"ServiceNow, Inc.",Technology,1.026241044805452,0.8357540077656236,-0.0157371546775121,-1.1313081130713618,-1.006347057304696
IE00B4BNMY34,ACN,Accenture plc,Technology,0.1356725601846181,0.060234616532639,0.7505304978129437,-0.6284529528307337,0.2788494583239185
CH0038863350,NESN.SW,Nestlé S.A.,Consumer Defensive,-0.7215961448075898,-1.1908678713836167,0.4258340654065233,-0.0166177297694533,1.219065302236917
